"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"_handle_delete_filter('default_jira_filter') returns ok=False.","8","test_delete_default_filter_is_blocked","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_filter_handlers","",""
"","27","test_velocity_totals_row_present","tests.component","Wed Apr 08 07:31:09 UTC 2026","passed","Wed Apr 08 07:31:09 UTC 2026","","test_report_html","",""
"","2","test_ai_action_labels_parsed","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_config","",""
"","0","test_get_done_statuses_defaults","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_schema","",""
"All required form inputs carry aria-required='true' (NFR-A-003).","5090","test_required_fields_have_aria_required[chromium]","tests.e2e","Wed Apr 08 07:39:28 UTC 2026","failed","Wed Apr 08 07:39:33 UTC 2026","","test_e2e_ui","",""
"A valid alphanumeric username gets the is-valid class and no error text.","61","test_username_valid_input_applies_valid_class[chromium]","tests.e2e","Wed Apr 08 07:31:37 UTC 2026","passed","Wed Apr 08 07:31:37 UTC 2026","","test_dau_survey_ui","",""
"","1","test_fetch_cert_exits_on_os_error","tests.integration","Wed Apr 08 07:31:10 UTC 2026","passed","Wed Apr 08 07:31:10 UTC 2026","","test_fetch_ssl_cert","",""
"Both the default filter and a user filter appear in the filter list after page load.","30058","test_filter_list_displayed_on_load[chromium]","tests.e2e","Wed Apr 08 07:32:59 UTC 2026","broken","Wed Apr 08 07:33:29 UTC 2026","","test_e2e_filters","",""
"The Default_Jira_Filter list item does not contain a Remove button.","30028","test_default_filter_has_no_remove_button[chromium]","tests.e2e","Wed Apr 08 07:33:30 UTC 2026","broken","Wed Apr 08 07:34:00 UTC 2026","","test_e2e_filters","",""
"","0","test_build_metrics_dict_jira_tickets_velocity_uses_issue_count","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_metrics","",""
"Verify test-connection returns the expected JSON shape for an error response.","171","test_server_test_connection_json_shape","tests.integration","Wed Apr 08 07:31:10 UTC 2026","passed","Wed Apr 08 07:31:10 UTC 2026","","test_integration","",""
"","1","test_ai_trend_row_has_required_keys","tests.component","Wed Apr 08 07:31:09 UTC 2026","passed","Wed Apr 08 07:31:09 UTC 2026","","test_contracts","",""
"Save button becomes enabled after all fields filled and Test Connection succeeds.","311","test_save_enabled_after_successful_test_connection[chromium]","tests.e2e","Wed Apr 08 07:31:46 UTC 2026","passed","Wed Apr 08 07:31:47 UTC 2026","","test_e2e_connection","",""
"","1","test_post_unknown_returns_404","tests.component","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_server","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","8","test_build_jql_from_params[params2-""Team[Team]"" = T1-None]","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_filter_handlers","",""
"Entries written by _save_filters() are returned by a fresh _load_filters() call.","15","test_filter_data_persists_across_loads","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_filter_handlers","",""
"","1","test_jira_url_no_trailing_slash_unchanged","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_config","",""
"","8","test_post_schema_returns_jira_error_when_fields_request_fails","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_server_handlers","",""
"","1","test_ai_usage_details_shape","tests.component","Wed Apr 08 07:31:09 UTC 2026","passed","Wed Apr 08 07:31:09 UTC 2026","","test_contracts","",""
"","0","test_get_filter_jql_none","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_jira_client","",""
"Filling valid inputs, testing connection, then clicking Save shows confirmation flash.","348","test_save_connection_valid_inputs[chromium]","tests.e2e","Wed Apr 08 07:35:37 UTC 2026","passed","Wed Apr 08 07:35:38 UTC 2026","","test_e2e_ui","",""
"","0","test_is_done_custom_statuses_case_insensitive","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_metrics","",""
"Clicking Fetch with empty schema name shows error and focuses input.","30052","test_fetch_schema_requires_name_input[chromium]","tests.e2e","Wed Apr 08 07:41:35 UTC 2026","broken","Wed Apr 08 07:42:05 UTC 2026","","test_e2e_ui","",""
"","0","test_parse_iso[2026-03-01T10:00:00Z-True]","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_metrics","",""
"Badge shows 'No certificate' (neutral) when /api/cert-status returns exists=false.","161","test_cert_badge_shows_no_certificate_when_no_cert[chromium]","tests.e2e","Wed Apr 08 07:31:54 UTC 2026","passed","Wed Apr 08 07:31:54 UTC 2026","","test_e2e_connection","",""
"_handle_post_filter() substitutes the schema's team.jql_name in the JQL clause.","9","test_post_filter_uses_schema_team_jql_field","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_filter_handlers","",""
"board_statuses overrides the static default status_mapping.","0","test_build_schema_from_fields_applies_board_statuses","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_schema","",""
"Accepts timestamps using the 'Z' suffix (via fromisoformat on Python 3.11+).","0","test_derive_iso_week_zulu_suffix","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_dau_normalizer","",""
"","1","test_import_app_jira_client","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_imports","",""
"","2","test_validate_config_all_set","tests.unit","Wed Apr 08 07:31:10 UTC 2026","passed","Wed Apr 08 07:31:10 UTC 2026","","test_config","",""
"","27","test_html_has_dau_trend_section","tests.component","Wed Apr 08 07:31:09 UTC 2026","passed","Wed Apr 08 07:31:09 UTC 2026","","test_dau_report","",""
"","0","test_is_done[Done-True]","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_metrics","",""
"","2","test_jira_schema_name_default","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_config","",""
"Saving a filter with valid inputs shows JQL and adds to list.","30070","test_save_filter_success[chromium]","tests.e2e","Wed Apr 08 07:36:10 UTC 2026","broken","Wed Apr 08 07:36:40 UTC 2026","","test_e2e_ui","",""
"GET /api/filters always includes the default filter, even after all user filters are removed.","3","test_get_filters_always_includes_default_after_user_delete","tests.component","Wed Apr 08 07:31:28 UTC 2026","passed","Wed Apr 08 07:31:28 UTC 2026","","test_server_filters","",""
"","1","test_build_schema_from_fields_preserves_team_jql_name","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_schema","",""
"When /api/cert-status reports no cert, the badge shows 'No certificate'.","132","test_cert_status_badge_no_cert[chromium]","tests.e2e","Wed Apr 08 07:38:12 UTC 2026","passed","Wed Apr 08 07:38:12 UTC 2026","","test_e2e_ui","",""
"","0","test_get_field_id","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_schema","",""
"","8","test_delete_schema_rejects_invalid_filename","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_server_handlers","",""
"","0","test_create_client_returns_jira_instance","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_jira_client","",""
"","0","test_md_table_header_row","tests.component","Wed Apr 08 07:31:10 UTC 2026","passed","Wed Apr 08 07:31:10 UTC 2026","","test_report_md","",""
"","0","test_ai_trend_multiple_sprints","tests.unit","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_metrics","",""
"GET /api/reports with an empty directory returns {""reports"": []}.","1","test_get_reports_returns_empty_list_when_no_reports","tests.component","Wed Apr 08 07:31:18 UTC 2026","passed","Wed Apr 08 07:31:18 UTC 2026","","test_server","",""
"Clicking the second radio card adds 'selected' only to that card.","89","test_radio_card_click_marks_it_selected[chromium]","tests.e2e","Wed Apr 08 07:31:38 UTC 2026","passed","Wed Apr 08 07:31:38 UTC 2026","","test_dau_survey_ui","",""
"","2","test_sprint_count_custom","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_config","",""
"_load_filters() returns exactly one default entry with the correct name and params.","9","test_default_filter_entry_is_present_and_correct","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_filter_handlers","",""
"","31","test_filter_metadata_in_html","tests.integration","Wed Apr 08 07:31:10 UTC 2026","passed","Wed Apr 08 07:31:10 UTC 2026","","test_integration","",""
"After a successful POST /api/fetch-cert, loadCertStatus re-runs and badge shows Valid.","316","test_fetch_cert_success_updates_badge[chromium]","tests.e2e","Wed Apr 08 07:31:56 UTC 2026","passed","Wed Apr 08 07:31:57 UTC 2026","","test_e2e_connection","",""
"Two responses from same user in same week → only latest counts.","1","test_compute_dau_trend_dedup_applied","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_dau_metrics","",""
"","0","test_empty_raw_dir_creates_normalized_dir_and_returns_zero","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_dau_normalizer","",""
"","1","test_fetch_cert_creates_certs_dir","tests.integration","Wed Apr 08 07:31:10 UTC 2026","passed","Wed Apr 08 07:31:10 UTC 2026","","test_fetch_ssl_cert","",""
"DELETE /api/schemas?name=Ghost returns 404.","1","test_delete_nonexistent_schema_returns_404","tests.component","Wed Apr 08 07:31:26 UTC 2026","passed","Wed Apr 08 07:31:26 UTC 2026","","test_server","",""
"","0","test_is_done[Resolved-True]","tests.unit","Wed Apr 08 07:31:11 UTC 2026","passed","Wed Apr 08 07:31:11 UTC 2026","","test_metrics","",""
