"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Progress label shows '0 of 3 answered' and bar width is 0% on load.","71","test_progress_starts_at_zero[chromium]","tests.e2e","Mon Mar 30 19:21:14 UTC 2026","passed","Mon Mar 30 19:21:14 UTC 2026","","test_dau_survey_ui","",""
"","0","test_get_done_statuses","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_schema","",""
"Generate tab shows metric toggle checkboxes, all checked by default (RG-MT-001).","358","test_metric_toggle_checkboxes_visible[chromium]","tests.e2e","Mon Mar 30 19:22:03 UTC 2026","passed","Mon Mar 30 19:22:04 UTC 2026","","test_e2e_ui","",""
"","0","test_create_client_uses_config_values","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_jira_client","",""
"POST /api/fetch-cert saves the PEM file with LF-only line endings (no CRLF on Windows).

    Ensures the write_bytes fix is effective: ssl.get_server_certificate returns a PEM
    string with \n endings; the saved bytes must not contain \r\n sequences, which would
    make cryptography fail to parse the cert on Windows.
    ","3","test_fetch_cert_saves_pem_without_crlf_line_endings","tests.component","Mon Mar 30 19:21:09 UTC 2026","passed","Mon Mar 30 19:21:09 UTC 2026","","test_server","",""
"","1","test_env_bool_values[yes-True]","tests.unit","Mon Mar 30 19:20:51 UTC 2026","passed","Mon Mar 30 19:20:51 UTC 2026","","test_config","",""
"_build_jql_from_params() produces correct JQL clauses for each param combination.","1","test_build_jql_from_params[params2-""Team[Team]"" = T1-None]","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_filter_handlers","",""
"","0","test_ai_trend_exclude_labels","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_metrics","",""
"","34","test_chart_script_absent_when_velocity_empty","tests.component","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_report_html","",""
"","1","test_ai_exclude_labels_parsed","tests.unit","Mon Mar 30 19:20:51 UTC 2026","passed","Mon Mar 30 19:20:51 UTC 2026","","test_config","",""
"","1","test_dau_responses_dir_env_var_overrides_default","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_dau_metrics","",""
"","1","test_board_id_numeric","tests.unit","Mon Mar 30 19:20:51 UTC 2026","passed","Mon Mar 30 19:20:51 UTC 2026","","test_config","",""
"","34","test_title_present","tests.component","Mon Mar 30 19:20:51 UTC 2026","passed","Mon Mar 30 19:20:51 UTC 2026","","test_report_html","",""
"","0","test_md_has_dau_trend_heading","tests.component","Mon Mar 30 19:20:51 UTC 2026","passed","Mon Mar 30 19:20:51 UTC 2026","","test_dau_report","",""
"","0","test_compute_velocity_missing_sprint_id","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_metrics","",""
"","0","test_build_metrics_dict_without_schema_backward_compat","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_metrics","",""
"Clicking Save sends the correct JIRA_URL, JIRA_EMAIL, JIRA_API_TOKEN to POST /api/config.","322","test_save_posts_correct_payload[chromium]","tests.e2e","Mon Mar 30 19:21:26 UTC 2026","passed","Mon Mar 30 19:21:26 UTC 2026","","test_e2e_connection","",""
"Posting the same name twice updates the existing entry; only one user filter exists.","3","test_post_filter_upserts_on_duplicate_name","tests.component","Mon Mar 30 19:21:12 UTC 2026","passed","Mon Mar 30 19:21:12 UTC 2026","","test_server_filters","",""
"Generate without a filter selected shows error and marks dropdown invalid.","196","test_generate_without_filter_selected[chromium]","tests.e2e","Mon Mar 30 19:21:42 UTC 2026","passed","Mon Mar 30 19:21:42 UTC 2026","","test_e2e_ui","",""
"","0","test_setup_logging_creates_log_file","tests.unit","Mon Mar 30 19:20:52 UTC 2026","passed","Mon Mar 30 19:20:52 UTC 2026","","test_logging_setup","",""
"Fetch Certificate button shows 'Refresh Certificate' text when a valid cert exists.","108","test_fetch_cert_button_label_is_refresh_when_cert_valid[chromium]","tests.e2e","Mon Mar 30 19:21:31 UTC 2026","passed","Mon Mar 30 19:21:31 UTC 2026","","test_e2e_connection","",""
"","1","test_issue_factory_matches_is_done_expectations","tests.component","Mon Mar 30 19:20:51 UTC 2026","passed","Mon Mar 30 19:20:51 UTC 2026","","test_contracts","",""
"","1","test_post_unknown_returns_404","tests.component","Mon Mar 30 19:20:57 UTC 2026","passed","Mon Mar 30 19:20:57 UTC 2026","","test_server","",""
