"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate the path fix: templates/ should be at project root, not inside app/.","0","test_templates_dir_not_inside_app","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"Badge shows 'Expiring soon · Nd' (warning) when days_remaining <= 7.","137","test_cert_badge_shows_expiring_soon[chromium]","tests.e2e","Mon Apr 06 07:28:41 UTC 2026","passed","Mon Apr 06 07:28:41 UTC 2026","","test_e2e_connection","",""
"","1","test_compute_dau_trend_multiple_weeks_sorted","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_dau_metrics","",""
"","1","test_env_bool_values[1-True]","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"","1","test_env_bool_values[false-False]","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"Save is disabled on page load when no config is set.","120","test_save_button_disabled_on_load_with_empty_config[chromium]","tests.e2e","Mon Apr 06 07:28:30 UTC 2026","passed","Mon Apr 06 07:28:30 UTC 2026","","test_e2e_connection","",""
"","0","test_md_dau_shows_team_avg","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:58 UTC 2026","","test_dau_report","",""
"Page loads with correct title and heading.","88","test_page_loads_with_title[chromium]","tests.e2e","Mon Apr 06 07:28:48 UTC 2026","passed","Mon Apr 06 07:28:48 UTC 2026","","test_e2e_ui","",""
"","0","test_setup_logging_attaches_stream_handler","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_logging_setup","",""
"","1","test_env_bool_values[true-True]","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"","32","test_html_dau_section_absent_when_no_responses","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:58 UTC 2026","","test_dau_report","",""
"","1","test_project_type_kanban","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"","0","test_get_filter_jql_valid","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"","1","test_estimation_type_invalid_falls_back","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"","0","test_get_field_id","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_schema","",""
"POST /api/fetch-cert writes the server cert + certifi CA bundle to disk.","4","test_fetch_cert_saves_full_ca_bundle","tests.component","Mon Apr 06 07:28:11 UTC 2026","passed","Mon Apr 06 07:28:11 UTC 2026","","test_server","",""
"","0","test_is_done_with_custom_statuses","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","1","test_get_done_issue_keys_filters_non_done","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","0","test_ai_trend_multiple_sprints","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"When server returns '***' for token, placeholder text changes to indicate a saved token.","144","test_token_placeholder_updated_when_server_token_exists[chromium]","tests.e2e","Mon Apr 06 07:28:31 UTC 2026","passed","Mon Apr 06 07:28:31 UTC 2026","","test_e2e_connection","",""
"","2","test_delete_schema_removes_existing_file","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_server_handlers","",""
"","0","test_ai_usage_no_ai_issues","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","1","test_handle_generate_emits_error_event_for_nonzero_exit","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_server_handlers","",""
"Empty/None config values must not cause errors.","0","test_sanitise_error_handles_none_config_values","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_jira_client","",""
"","32","test_ai_assistance_no_data_message_when_empty","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"","0","test_timestamp_folder_name_empty_string","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_main_helpers","",""
"POST /api/schemas with unreachable Jira returns ok:false.","5","test_post_schema_unreachable_jira","tests.component","Mon Apr 06 07:28:14 UTC 2026","passed","Mon Apr 06 07:28:14 UTC 2026","","test_server","",""
"","1","test_project_type_shown_in_md_header","tests.component","Mon Apr 06 07:28:00 UTC 2026","passed","Mon Apr 06 07:28:00 UTC 2026","","test_report_md","",""
"","2","test_main_keeps_running_when_filter_name_lookup_fails","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_cli","",""
"POST /api/fetch-cert with empty url and no JIRA_URL fallback returns HTTP 400.","1","test_fetch_cert_missing_url_returns_400","tests.component","Mon Apr 06 07:28:10 UTC 2026","passed","Mon Apr 06 07:28:10 UTC 2026","","test_server","",""
"","0","test_get_done_issue_keys_custom_statuses","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"","0","test_velocity_header_label_jira_tickets","tests.component","Mon Apr 06 07:28:00 UTC 2026","passed","Mon Apr 06 07:28:00 UTC 2026","","test_report_md","",""
"Only fields present in the server config are filled; absent fields remain empty.","119","test_partial_config_populates_only_present_fields[chromium]","tests.e2e","Mon Apr 06 07:28:32 UTC 2026","passed","Mon Apr 06 07:28:32 UTC 2026","","test_e2e_connection","",""
"","33","test_ai_usage_details_section_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"","34","test_ai_usage_tools_canvas_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"","32","test_date_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
"","2","test_sprint_count_default","tests.unit","Mon Apr 06 07:28:08 UTC 2026","passed","Mon Apr 06 07:28:08 UTC 2026","","test_config","",""
"build_metrics_dict + generate_html + generate_md finish in under 5 s.","36","test_report_generation_completes_within_time_limit","tests.component","Mon Apr 06 07:28:00 UTC 2026","passed","Mon Apr 06 07:28:00 UTC 2026","","test_report_performance","",""
"","1","test_save_schema_updates_existing","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_schema","",""
"Fetch Certificate button shows 'Refresh Certificate' text when a valid cert exists.","133","test_fetch_cert_button_label_is_refresh_when_cert_valid[chromium]","tests.e2e","Mon Apr 06 07:28:42 UTC 2026","passed","Mon Apr 06 07:28:42 UTC 2026","","test_e2e_connection","",""
"","1","test_load_schemas_invalid_json","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_schema","",""
"","0","test_build_metrics_dict_generated_at_is_iso","tests.unit","Mon Apr 06 07:28:09 UTC 2026","passed","Mon Apr 06 07:28:09 UTC 2026","","test_metrics","",""
"Badge shows 'Certificate unreadable' (error) when cert-status returns an error key.","138","test_cert_badge_shows_unreadable_on_error[chromium]","tests.e2e","Mon Apr 06 07:28:42 UTC 2026","passed","Mon Apr 06 07:28:42 UTC 2026","","test_e2e_connection","",""
"","0","test_sprint_factory_has_keys_used_by_ai_trend","tests.component","Mon Apr 06 07:27:58 UTC 2026","passed","Mon Apr 06 07:27:58 UTC 2026","","test_contracts","",""
"","33","test_sprint_name_present","tests.component","Mon Apr 06 07:27:59 UTC 2026","passed","Mon Apr 06 07:27:59 UTC 2026","","test_report_html","",""
