"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_setup_logging_attaches_file_handler","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_logging_setup","",""
"JSR-AD-005: Null or structurally incomplete entries in the Jira fields response are tolerated.","0","test_build_schema_from_fields_tolerates_null_and_incomplete_entries","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_schema","",""
"","1","test_fetch_cert_exits_on_ssl_error","tests.integration","Wed Apr 08 07:31:16 UTC 2026","passed","Wed Apr 08 07:31:16 UTC 2026","","test_fetch_ssl_cert","",""
"","0","test_is_done[Released-False]","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_metrics","",""
"","2","test_ai_exclude_labels_parsed","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_config","",""
"POST /api/fetch-cert with an unparseable hostname returns HTTP 400.","1","test_fetch_cert_invalid_url_returns_400","tests.component","Wed Apr 08 07:31:25 UTC 2026","passed","Wed Apr 08 07:31:25 UTC 2026","","test_server","",""
"Invalid URL: Test Connection still proceeds but Jira call fails; Save remains disabled.","300","test_validation_error_invalid_url[chromium]","tests.e2e","Wed Apr 08 07:35:34 UTC 2026","passed","Wed Apr 08 07:35:34 UTC 2026","","test_e2e_ui","",""
"","0","test_delete_schema_not_found","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_schema","",""
"_load_filters() returns exactly one default entry with the correct name and params.","9","test_default_filter_entry_is_present_and_correct","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_filter_handlers","",""
"create_client() must pass timeout=55 to the Jira constructor.","1","test_create_client_passes_timeout","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_jira_client","",""
"","0","test_get_field_jql_name_with_explicit_jql_name","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_schema","",""
"URL and email fields are re-populated from server config after a page reload.","252","test_saved_credentials_prefill_on_reload[chromium]","tests.e2e","Wed Apr 08 07:31:49 UTC 2026","passed","Wed Apr 08 07:31:49 UTC 2026","","test_e2e_connection","",""
"","34","test_validate_cert_valid_future","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_cert_validation","",""
"After the user types into filter-name, switching tabs and returning does not reset the value.","30093","test_filter_name_not_overwritten_after_user_edit[chromium]","tests.e2e","Wed Apr 08 07:32:24 UTC 2026","broken","Wed Apr 08 07:32:55 UTC 2026","","test_e2e_filters","",""
"","1","test_build_schema_from_fields_detects_sprint","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_schema","",""
"When board_statuses is None the default status_mapping is preserved.","0","test_build_schema_from_fields_none_board_statuses_uses_defaults","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_schema","",""
"","0","test_compute_dau_trend_single_week","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_dau_metrics","",""
"","2","test_ai_assisted_label_custom","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_config","",""
"Save is disabled even when fields are pre-populated from server — Test Connection not yet run.","138","test_save_button_disabled_on_load_even_with_prefilled_config[chromium]","tests.e2e","Wed Apr 08 07:31:39 UTC 2026","passed","Wed Apr 08 07:31:39 UTC 2026","","test_e2e_connection","",""
"Username is persisted in localStorage when submit succeeds.","157","test_username_saved_to_localstorage_after_submit[chromium]","tests.e2e","Wed Apr 08 07:31:35 UTC 2026","passed","Wed Apr 08 07:31:35 UTC 2026","","test_dau_survey_ui","",""
"","8","test_get_schema_detail_returns_saved_schema_json","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_server_handlers","",""
"","1","test_project_type_shown_in_md_header","tests.component","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_report_md","",""
"","2","test_metric_toggles_default_true","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_config","",""
"","0","test_fetch_sprint_data_orchestration","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_jira_client","",""
"Test Connection with empty fields shows error in badge.","179","test_test_connection_missing_fields[chromium]","tests.e2e","Wed Apr 08 07:35:35 UTC 2026","passed","Wed Apr 08 07:35:35 UTC 2026","","test_e2e_ui","",""
"","1","test_get_story_points_custom_field_missing","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_metrics","",""
"Accepts timestamps using the 'Z' suffix (via fromisoformat on Python 3.11+).","0","test_derive_iso_week_zulu_suffix","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_dau_normalizer","",""
"Both the default filter and a user filter appear in the filter list after page load.","30054","test_filter_list_displayed_on_load[chromium]","tests.e2e","Wed Apr 08 07:32:55 UTC 2026","broken","Wed Apr 08 07:33:25 UTC 2026","","test_e2e_filters","",""
"","0","test_import_app_metrics","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_imports","",""
"ArrowDown key moves selection from the first to the second radio card.","67","test_radio_card_keyboard_navigation[chromium]","tests.e2e","Wed Apr 08 07:31:34 UTC 2026","passed","Wed Apr 08 07:31:34 UTC 2026","","test_dau_survey_ui","",""
"Badge shows 'Expiring soon · Nd' (warning) when days_remaining <= 7.","157","test_cert_badge_shows_expiring_soon[chromium]","tests.e2e","Wed Apr 08 07:31:50 UTC 2026","passed","Wed Apr 08 07:31:50 UTC 2026","","test_e2e_connection","",""
"DELETE /api/schemas without ?name= returns 400.","1","test_delete_schema_no_name_returns_400","tests.component","Wed Apr 08 07:31:34 UTC 2026","passed","Wed Apr 08 07:31:34 UTC 2026","","test_server","",""
"","0","test_get_story_points_integer_stored_as_int","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_metrics","",""
"A record without 'week' gets it derived from 'timestamp'.","0","test_load_dau_records_derives_week_from_timestamp","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_dau_metrics","",""
"DELETE /api/filters/no-such-slug returns ok=False with a descriptive error.","1","test_delete_unknown_slug_returns_not_found","tests.component","Wed Apr 08 07:31:39 UTC 2026","passed","Wed Apr 08 07:31:39 UTC 2026","","test_server_filters","",""
"","8","test_delete_schema_removes_existing_file","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_server_handlers","",""
"MD report currently does not render AI assistance trend section.","0","test_md_report_no_ai_assistance_section","tests.component","Wed Apr 08 07:31:13 UTC 2026","passed","Wed Apr 08 07:31:13 UTC 2026","","test_report_md","",""
"A non-default user filter list item contains a Remove button.","30030","test_user_filter_has_remove_button[chromium]","tests.e2e","Wed Apr 08 07:33:56 UTC 2026","broken","Wed Apr 08 07:34:26 UTC 2026","","test_e2e_filters","",""
"","2","test_filter_id_numeric","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_config","",""
"The 'url' keyword passed to Jira() must be exactly the configured JIRA_URL.","1","test_create_client_url_kwarg_matches_config_exactly","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_jira_client","",""
"","1","test_get_in_progress_statuses_defaults","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_schema","",""
"validate_cert() returns the full set of keys consumed by _handle_cert_status.","34","test_validate_cert_response_has_all_keys_when_valid","tests.component","Wed Apr 08 07:31:12 UTC 2026","passed","Wed Apr 08 07:31:12 UTC 2026","","test_contracts","",""
"Save stays disabled when token is empty even after a successful test (all fields required).","203","test_save_not_enabled_when_token_missing_despite_success[chromium]","tests.e2e","Wed Apr 08 07:31:44 UTC 2026","passed","Wed Apr 08 07:31:45 UTC 2026","","test_e2e_connection","",""
"","0","test_get_story_points_with_custom_field","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_metrics","",""
"","1","test_get_story_points_custom_field","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_metrics","",""
"'Settings saved' flash appears after clicking Save.","366","test_save_shows_flash_confirmation[chromium]","tests.e2e","Wed Apr 08 07:31:45 UTC 2026","passed","Wed Apr 08 07:31:46 UTC 2026","","test_e2e_connection","",""
"","0","test_timestamp_folder_name_valid_iso","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_main_helpers","",""
"","1","test_get_board_id_raises_when_not_configured","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_jira_client","",""
"JIRA_API_TOKEN, JIRA_EMAIL, and JIRA_URL values must never appear in logs.","1","test_credentials_not_in_log_output","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_logging_setup","",""
"Submit button is disabled before any fields are filled.","52","test_submit_button_initially_disabled[chromium]","tests.e2e","Wed Apr 08 07:31:32 UTC 2026","passed","Wed Apr 08 07:31:32 UTC 2026","","test_dau_survey_ui","",""
"","0","test_file_created","tests.component","Wed Apr 08 07:31:13 UTC 2026","passed","Wed Apr 08 07:31:13 UTC 2026","","test_report_md","",""
"_handle_cert_status returns exists=True plus error key when validate_cert fails.","8","test_handle_cert_status_returns_error_key_when_cert_unreadable","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_server_handlers","",""
"","0","test_load_dau_records_empty_dir","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_dau_metrics","",""
"After submit the mocked FS receives valid JSON with all required fields.","154","test_submit_writes_valid_json_to_mocked_fs[chromium]","tests.e2e","Wed Apr 08 07:31:34 UTC 2026","passed","Wed Apr 08 07:31:34 UTC 2026","","test_dau_survey_ui","",""
"","28","test_title_present","tests.component","Wed Apr 08 07:31:13 UTC 2026","passed","Wed Apr 08 07:31:13 UTC 2026","","test_report_html","",""
"","0","test_md_table_header_row","tests.component","Wed Apr 08 07:31:13 UTC 2026","passed","Wed Apr 08 07:31:13 UTC 2026","","test_report_md","",""
"","2","test_project_type_invalid_falls_back","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_config","",""
"","1","test_log_file_format","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_logging_setup","",""
"","1","test_build_metrics_dict_without_schema_backward_compat","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_metrics","",""
"","1","test_save_schema_creates_file","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_schema","",""
"Certificate expiring in 5 days is still valid=True (not yet expired).

    days_remaining <= 7 is a UI-only warning threshold; validate_cert itself
    has no 7-day cutoff — it only checks days_remaining >= 0.
    ","1","test_validate_cert_expiring_soon","tests.unit","Wed Apr 08 07:31:14 UTC 2026","passed","Wed Apr 08 07:31:14 UTC 2026","","test_cert_validation","",""
"","0","test_is_done_custom_statuses_case_insensitive","tests.unit","Wed Apr 08 07:31:15 UTC 2026","passed","Wed Apr 08 07:31:15 UTC 2026","","test_metrics","",""
